Тип устройства,Тип показаний,Тег API,Тег SCADA,Kind,ValueType
3,ElMomentQuality,UA,Напряжение фазы A,current,double
3,ElMomentQuality,UB,Напряжение фазы B,current,double
3,ElMomentQuality,UC,Напряжение фазы C,current,double
3,ElMomentQuality,IA,Ток фазы A,current,double
3,ElMomentQuality,IB,Ток фазы B,current,double
3,ElMomentQuality,IC,Ток фазы C,current,double
3,GetTime,,Время,current,datetime
3,ElDayEnergy,A+0,A+ на начало суток,history,double
3,ElMonthEnergy,A+0,A+ на начало месяца,history,double
3,ElDayConsEnergy,A+0,A+ потребление за сутки,history,double
3,ElArr1ConsPower,P+,P+ профиль мощности,history,double
